S.no,District,Transaction_count,Transaction_amount,Quarter,Year,State
432,lower siang district,3565,6923301.928,1,2019,arunachal-pradesh
433,kra daadi district,1070,3797175.484,1,2019,arunachal-pradesh
434,changlang district,17589,40239141.67,1,2019,arunachal-pradesh
435,pakke kessang district,545,1682922.837,1,2019,arunachal-pradesh
436,dibang valley district,102,301591.3864,1,2019,arunachal-pradesh
437,west kameng district,34289,101333633.7,1,2019,arunachal-pradesh
438,shi yomi district,19,212989.6305,1,2019,arunachal-pradesh
439,east siang district,15621,39284373.05,1,2019,arunachal-pradesh
440,upper subansiri district,3880,14105451.85,1,2019,arunachal-pradesh
441,east kameng district,2688,9107597.731,1,2019,arunachal-pradesh
442,lohit district,15896,42834776.78,1,2019,arunachal-pradesh
443,lepa rada district,1523,4054526.309,1,2019,arunachal-pradesh
444,tawang district,13102,39489779.14,1,2019,arunachal-pradesh
445,namsai district,8600,20065516.62,1,2019,arunachal-pradesh
446,lower dibang valley district,5819,13737167.75,2,2019,arunachal-pradesh
447,lower subansiri district,5579,14746949.65,2,2019,arunachal-pradesh
448,longding district,6744,23464027.89,2,2019,arunachal-pradesh
449,west siang district,8041,24549832.98,2,2019,arunachal-pradesh
450,kamle district,414,1136776.696,2,2019,arunachal-pradesh
451,upper siang district,1079,3993676.33,2,2019,arunachal-pradesh
452,tirap district,6868,18633793.43,2,2019,arunachal-pradesh
453,papum pare district,86433,246640891.3,2,2019,arunachal-pradesh
454,kurung kumey district,1427,4036511.934,2,2019,arunachal-pradesh
455,anjaw district,2473,5220589.921,2,2019,arunachal-pradesh
456,siang district,1654,5373179.352,2,2019,arunachal-pradesh
457,lower siang district,3791,7075961.239,2,2019,arunachal-pradesh
458,kra daadi district,1447,4315353.219,2,2019,arunachal-pradesh
459,changlang district,18631,48891048.26,2,2019,arunachal-pradesh
460,pakke kessang district,687,1750138.059,2,2019,arunachal-pradesh
461,dibang valley district,98,214966.6162,2,2019,arunachal-pradesh
462,west kameng district,37430,122521180.8,2,2019,arunachal-pradesh
463,shi yomi district,13,65209.39364,2,2019,arunachal-pradesh
464,east siang district,16494,46549881.24,2,2019,arunachal-pradesh
465,upper subansiri district,4827,18395806.57,2,2019,arunachal-pradesh
466,east kameng district,2309,8996397.735,2,2019,arunachal-pradesh
467,lohit district,18693,48893746.83,2,2019,arunachal-pradesh
468,lepa rada district,2108,5045595.907,2,2019,arunachal-pradesh
469,tawang district,15960,55915834.59,2,2019,arunachal-pradesh
470,namsai district,9637,22491356.66,2,2019,arunachal-pradesh
471,lower dibang valley district,8405,15177864.64,3,2019,arunachal-pradesh
472,lower subansiri district,8828,21059967.5,3,2019,arunachal-pradesh
473,longding district,10269,26620415.02,3,2019,arunachal-pradesh
474,west siang district,11889,30014806.82,3,2019,arunachal-pradesh
475,kamle district,677,968784.5134,3,2019,arunachal-pradesh
476,upper siang district,1419,3927440.442,3,2019,arunachal-pradesh
477,tirap district,11249,21737827.19,3,2019,arunachal-pradesh
478,papum pare district,117940,301518075.7,3,2019,arunachal-pradesh
479,kurung kumey district,1579,3674797.099,3,2019,arunachal-pradesh
480,anjaw district,4230,9665384.075,3,2019,arunachal-pradesh
481,siang district,2640,6888800.899,3,2019,arunachal-pradesh
482,lower siang district,5348,9507511.569,3,2019,arunachal-pradesh
483,kra daadi district,2187,5520848.186,3,2019,arunachal-pradesh
484,changlang district,29218,58354823.44,3,2019,arunachal-pradesh
485,pakke kessang district,977,2145842.293,3,2019,arunachal-pradesh
486,dibang valley district,202,675909.9963,3,2019,arunachal-pradesh
487,west kameng district,53939,147186019.9,3,2019,arunachal-pradesh
488,shi yomi district,27,30367.75471,3,2019,arunachal-pradesh
489,east siang district,22611,58040119.96,3,2019,arunachal-pradesh
490,upper subansiri district,7803,22099628.49,3,2019,arunachal-pradesh
491,east kameng district,3814,10631335.87,3,2019,arunachal-pradesh
492,lohit district,24505,54539458.21,3,2019,arunachal-pradesh
493,lepa rada district,2928,4930337.942,3,2019,arunachal-pradesh
494,tawang district,24097,72221026.28,3,2019,arunachal-pradesh
495,namsai district,13453,25507641.02,3,2019,arunachal-pradesh
496,lower dibang valley district,10376,21103089.24,4,2019,arunachal-pradesh
497,lower subansiri district,11806,29634357.49,4,2019,arunachal-pradesh
498,longding district,11018,29245021.39,4,2019,arunachal-pradesh
499,west siang district,14581,39460255.47,4,2019,arunachal-pradesh
500,kamle district,999,1620922.328,4,2019,arunachal-pradesh
501,upper siang district,4165,12739585.64,4,2019,arunachal-pradesh
502,tirap district,16459,38467790.73,4,2019,arunachal-pradesh
503,papum pare district,143272,378838002.3,4,2019,arunachal-pradesh
504,kurung kumey district,1343,4526789.749,4,2019,arunachal-pradesh
505,anjaw district,5417,11887950.53,4,2019,arunachal-pradesh
506,siang district,4756,8833695.425,4,2019,arunachal-pradesh
507,lower siang district,6628,11985865.26,4,2019,arunachal-pradesh
508,kra daadi district,2830,7804936.328,4,2019,arunachal-pradesh
509,changlang district,33963,71874990.96,4,2019,arunachal-pradesh
510,pakke kessang district,1194,2287739.012,4,2019,arunachal-pradesh
511,dibang valley district,267,1240493.027,4,2019,arunachal-pradesh
512,west kameng district,66740,198205637.5,4,2019,arunachal-pradesh
513,shi yomi district,232,170772.7268,4,2019,arunachal-pradesh
514,east siang district,26605,72075285.44,4,2019,arunachal-pradesh
515,upper subansiri district,9285,28319761.87,4,2019,arunachal-pradesh
516,east kameng district,5646,19408662.75,4,2019,arunachal-pradesh
517,lohit district,29281,67502324.59,4,2019,arunachal-pradesh
518,lepa rada district,4245,8888753.876,4,2019,arunachal-pradesh
519,tawang district,30077,91949243.61,4,2019,arunachal-pradesh
520,namsai district,18290,32501252.24,4,2019,arunachal-pradesh
521,lower dibang valley district,14400,29552510.94,1,2020,arunachal-pradesh
522,lower subansiri district,15770,34273250.72,1,2020,arunachal-pradesh
523,longding district,13240,35267439.98,1,2020,arunachal-pradesh
524,west siang district,19728,47929440.73,1,2020,arunachal-pradesh
525,kamle district,1434,3418975.826,1,2020,arunachal-pradesh
526,upper siang district,7055,17820679.65,1,2020,arunachal-pradesh
527,tirap district,18369,40877851.79,1,2020,arunachal-pradesh
528,papum pare district,180373,457430754.2,1,2020,arunachal-pradesh
529,kurung kumey district,2294,5942677.062,1,2020,arunachal-pradesh
530,anjaw district,5025,12808735.86,1,2020,arunachal-pradesh
531,siang district,5136,11962344.14,1,2020,arunachal-pradesh
532,lower siang district,8047,15520255.4,1,2020,arunachal-pradesh
533,kra daadi district,3407,10045462.8,1,2020,arunachal-pradesh
534,changlang district,43858,93461363.59,1,2020,arunachal-pradesh
535,pakke kessang district,2044,3425821.316,1,2020,arunachal-pradesh
536,dibang valley district,397,878784.5955,1,2020,arunachal-pradesh
537,west kameng district,75363,198712422.2,1,2020,arunachal-pradesh
538,shi yomi district,117,566189.9937,1,2020,arunachal-pradesh
539,east siang district,33743,82011539.43,1,2020,arunachal-pradesh
540,upper subansiri district,12313,33686711.81,1,2020,arunachal-pradesh
541,east kameng district,7379,20456070.89,1,2020,arunachal-pradesh
542,lohit district,36985,83701268.27,1,2020,arunachal-pradesh
543,lepa rada district,5721,11137993.77,1,2020,arunachal-pradesh
544,tawang district,31865,84425193.42,1,2020,arunachal-pradesh
545,namsai district,23112,46444942.96,1,2020,arunachal-pradesh
546,lower dibang valley district,26234,42360072.53,2,2020,arunachal-pradesh
547,lower subansiri district,25703,46133123.52,2,2020,arunachal-pradesh
548,longding district,20664,54678022.5,2,2020,arunachal-pradesh
549,west siang district,32777,72790231.05,2,2020,arunachal-pradesh
550,kamle district,2397,4126243.078,2,2020,arunachal-pradesh
551,upper siang district,10899,28048492.11,2,2020,arunachal-pradesh
552,tirap district,28830,63497030.84,2,2020,arunachal-pradesh
553,papum pare district,221728,535085907.3,2,2020,arunachal-pradesh
554,kurung kumey district,3847,11359743.46,2,2020,arunachal-pradesh
555,anjaw district,7617,18795023.53,2,2020,arunachal-pradesh
556,siang district,9827,18585670.47,2,2020,arunachal-pradesh
557,lower siang district,13321,23571085.32,2,2020,arunachal-pradesh
558,kra daadi district,5264,15730996.23,2,2020,arunachal-pradesh
559,changlang district,69279,128572448,2,2020,arunachal-pradesh
560,pakke kessang district,3558,4635272.064,2,2020,arunachal-pradesh
561,dibang valley district,966,2559724.837,2,2020,arunachal-pradesh
562,west kameng district,95421,251395972.2,2,2020,arunachal-pradesh
563,shi yomi district,302,1222863.436,2,2020,arunachal-pradesh
564,east siang district,55680,112693868.8,2,2020,arunachal-pradesh
565,upper subansiri district,18056,43140688.97,2,2020,arunachal-pradesh
566,east kameng district,11791,40506284.27,2,2020,arunachal-pradesh
567,lohit district,56541,114730675.5,2,2020,arunachal-pradesh
568,lepa rada district,8601,16064862.37,2,2020,arunachal-pradesh
569,tawang district,44499,121561732.2,2,2020,arunachal-pradesh
570,namsai district,34972,54870798.31,2,2020,arunachal-pradesh
571,lower dibang valley district,27655,63469161.33,3,2020,arunachal-pradesh
572,lower subansiri district,26596,59707234.22,3,2020,arunachal-pradesh
573,longding district,21445,63273209.98,3,2020,arunachal-pradesh
574,west siang district,34295,92449732.96,3,2020,arunachal-pradesh
575,kamle district,2618,5300885.933,3,2020,arunachal-pradesh
576,upper siang district,12707,40210852.99,3,2020,arunachal-pradesh
577,tirap district,30046,81539831.53,3,2020,arunachal-pradesh
578,papum pare district,298350,859373863.7,3,2020,arunachal-pradesh
579,kurung kumey district,4391,13864822.73,3,2020,arunachal-pradesh
580,anjaw district,9751,31524690.46,3,2020,arunachal-pradesh
581,siang district,10489,21236201.53,3,2020,arunachal-pradesh
582,lower siang district,12456,28754627.35,3,2020,arunachal-pradesh
583,kra daadi district,5676,16181045.61,3,2020,arunachal-pradesh
584,changlang district,73842,159158438.9,3,2020,arunachal-pradesh
585,pakke kessang district,3469,6301715.335,3,2020,arunachal-pradesh
586,dibang valley district,899,3061207.293,3,2020,arunachal-pradesh
587,west kameng district,111029,332812237.8,3,2020,arunachal-pradesh
588,shi yomi district,521,3410288.131,3,2020,arunachal-pradesh
589,east siang district,69710,176323789.9,3,2020,arunachal-pradesh
590,upper subansiri district,24387,70811197.58,3,2020,arunachal-pradesh
591,east kameng district,13421,43881134.37,3,2020,arunachal-pradesh
592,lohit district,65889,156523653.2,3,2020,arunachal-pradesh
593,lepa rada district,10150,22146313.37,3,2020,arunachal-pradesh
594,tawang district,56016,182137862.7,3,2020,arunachal-pradesh
595,namsai district,37019,76484566.53,3,2020,arunachal-pradesh
596,lower dibang valley district,33455,81929299.57,4,2020,arunachal-pradesh
597,lower subansiri district,31411,97681186.9,4,2020,arunachal-pradesh
598,longding district,26089,74890543.92,4,2020,arunachal-pradesh
599,west siang district,45207,125118193,4,2020,arunachal-pradesh
600,kamle district,3611,10000596.41,4,2020,arunachal-pradesh
601,upper siang district,19943,78146755.89,4,2020,arunachal-pradesh
602,tirap district,36124,104709589.7,4,2020,arunachal-pradesh
603,papum pare district,390528,1205917754,4,2020,arunachal-pradesh
604,kurung kumey district,4581,17134470.44,4,2020,arunachal-pradesh
605,anjaw district,17228,49318880.52,4,2020,arunachal-pradesh
606,siang district,12962,32619173.24,4,2020,arunachal-pradesh
607,lower siang district,14782,33891568.65,4,2020,arunachal-pradesh
608,kra daadi district,7619,30458774.81,4,2020,arunachal-pradesh
609,changlang district,84852,204367875.1,4,2020,arunachal-pradesh
610,pakke kessang district,3064,7503555.504,4,2020,arunachal-pradesh
611,dibang valley district,1705,6749773.196,4,2020,arunachal-pradesh
612,west kameng district,129575,390436113.7,4,2020,arunachal-pradesh
613,shi yomi district,1103,6627025.636,4,2020,arunachal-pradesh
614,east siang district,88632,250515095.2,4,2020,arunachal-pradesh
615,upper subansiri district,31426,109405900.8,4,2020,arunachal-pradesh
616,east kameng district,16340,64104581.34,4,2020,arunachal-pradesh
617,lohit district,80530,196997836.8,4,2020,arunachal-pradesh
618,lepa rada district,14338,39340491.72,4,2020,arunachal-pradesh
619,tawang district,67262,240482254.6,4,2020,arunachal-pradesh
620,namsai district,46762,111916731.5,4,2020,arunachal-pradesh
621,lower dibang valley district,32427,90709108.52,1,2021,arunachal-pradesh
622,lower subansiri district,29916,106591163,1,2021,arunachal-pradesh
623,longding district,23962,75573420.97,1,2021,arunachal-pradesh
624,west siang district,42575,138700637.3,1,2021,arunachal-pradesh
625,kamle district,3092,11023767.7,1,2021,arunachal-pradesh
626,upper siang district,21312,73026286.55,1,2021,arunachal-pradesh
627,tirap district,32043,110593517.1,1,2021,arunachal-pradesh
628,papum pare district,419891,1388723427,1,2021,arunachal-pradesh
629,kurung kumey district,4962,22483754.8,1,2021,arunachal-pradesh
630,anjaw district,12823,38844865.55,1,2021,arunachal-pradesh
631,siang district,13679,42644184.41,1,2021,arunachal-pradesh
632,lower siang district,13231,37929392.8,1,2021,arunachal-pradesh
633,kra daadi district,6393,24326518.99,1,2021,arunachal-pradesh
634,changlang district,78849,220167765.5,1,2021,arunachal-pradesh
635,pakke kessang district,3563,8146941.792,1,2021,arunachal-pradesh
636,dibang valley district,1930,7949867.974,1,2021,arunachal-pradesh
637,west kameng district,120906,384735272.8,1,2021,arunachal-pradesh
638,shi yomi district,1251,6905518.173,1,2021,arunachal-pradesh
639,east siang district,82357,253988360.8,1,2021,arunachal-pradesh
640,upper subansiri district,28053,116973014.5,1,2021,arunachal-pradesh
641,east kameng district,16281,77915774.21,1,2021,arunachal-pradesh
642,lohit district,72380,198534806.9,1,2021,arunachal-pradesh
643,lepa rada district,15690,52794992.78,1,2021,arunachal-pradesh
644,tawang district,54137,207859088.4,1,2021,arunachal-pradesh
645,namsai district,45753,116637630.7,1,2021,arunachal-pradesh
646,lower dibang valley district,42091,105552358.1,2,2021,arunachal-pradesh
647,lower subansiri district,40081,120717472.9,2,2021,arunachal-pradesh
648,longding district,31640,96566640.53,2,2021,arunachal-pradesh
649,west siang district,59341,180700138.8,2,2021,arunachal-pradesh
650,kamle district,5476,17345427.04,2,2021,arunachal-pradesh
651,upper siang district,25971,89455180.07,2,2021,arunachal-pradesh
652,tirap district,46320,144548683.3,2,2021,arunachal-pradesh
653,papum pare district,552953,1501062555,2,2021,arunachal-pradesh
654,kurung kumey district,6623,27396796.62,2,2021,arunachal-pradesh
655,anjaw district,15311,43475744.24,2,2021,arunachal-pradesh
656,siang district,17032,52687221.43,2,2021,arunachal-pradesh
657,lower siang district,17401,45499278.57,2,2021,arunachal-pradesh
658,kra daadi district,8758,35998227.6,2,2021,arunachal-pradesh
659,changlang district,105461,264031910.3,2,2021,arunachal-pradesh
660,pakke kessang district,4424,13097426.07,2,2021,arunachal-pradesh
661,dibang valley district,1995,9465919.623,2,2021,arunachal-pradesh
662,west kameng district,164866,482626617.9,2,2021,arunachal-pradesh
663,shi yomi district,2135,12166777.19,2,2021,arunachal-pradesh
664,east siang district,106787,286839106.5,2,2021,arunachal-pradesh
665,upper subansiri district,35856,131912938.8,2,2021,arunachal-pradesh
666,east kameng district,22015,95352007.56,2,2021,arunachal-pradesh
