S.no,District,RegisteredUsers,Appopens,Quarter,Year,State
474,anjaw district,1358,19509,3,2019,arunachal-pradesh
475,lower siang district,1689,25736,3,2019,arunachal-pradesh
476,dibang valley district,271,1436,3,2019,arunachal-pradesh
477,west kameng district,11186,260068,3,2019,arunachal-pradesh
478,shi yomi district,239,158,3,2019,arunachal-pradesh
479,east kameng district,1304,19974,3,2019,arunachal-pradesh
480,lohit district,6421,112322,3,2019,arunachal-pradesh
481,lepa rada district,1064,13695,3,2019,arunachal-pradesh
482,lower dibang valley district,3398,43057,3,2019,arunachal-pradesh
483,longding district,1634,46571,3,2019,arunachal-pradesh
484,west siang district,4101,64241,3,2019,arunachal-pradesh
485,kamle district,258,3686,3,2019,arunachal-pradesh
486,upper siang district,1486,8960,3,2019,arunachal-pradesh
487,kurung kumey district,572,8396,3,2019,arunachal-pradesh
488,siang district,948,13437,3,2019,arunachal-pradesh
489,kra daadi district,524,11363,3,2019,arunachal-pradesh
490,changlang district,8145,139098,3,2019,arunachal-pradesh
491,pakke kessang district,244,5099,3,2019,arunachal-pradesh
492,east siang district,8571,118071,3,2019,arunachal-pradesh
493,upper subansiri district,2748,35114,3,2019,arunachal-pradesh
494,tawang district,6553,114907,3,2019,arunachal-pradesh
495,namsai district,4563,72268,3,2019,arunachal-pradesh
496,lower subansiri district,3564,53396,4,2019,arunachal-pradesh
497,tirap district,3605,67097,4,2019,arunachal-pradesh
498,papum pare district,44746,670934,4,2019,arunachal-pradesh
499,anjaw district,1564,23729,4,2019,arunachal-pradesh
500,lower siang district,1921,28156,4,2019,arunachal-pradesh
501,dibang valley district,289,1738,4,2019,arunachal-pradesh
502,west kameng district,12562,313584,4,2019,arunachal-pradesh
503,shi yomi district,266,880,4,2019,arunachal-pradesh
504,east kameng district,1623,27850,4,2019,arunachal-pradesh
505,lohit district,7386,129353,4,2019,arunachal-pradesh
506,lepa rada district,1263,20798,4,2019,arunachal-pradesh
507,lower dibang valley district,3944,50034,4,2019,arunachal-pradesh
508,longding district,1847,48945,4,2019,arunachal-pradesh
509,west siang district,4773,70790,4,2019,arunachal-pradesh
510,kamle district,323,5098,4,2019,arunachal-pradesh
511,upper siang district,1804,26060,4,2019,arunachal-pradesh
512,kurung kumey district,653,7904,4,2019,arunachal-pradesh
513,siang district,1131,19220,4,2019,arunachal-pradesh
514,kra daadi district,603,13700,4,2019,arunachal-pradesh
515,changlang district,9662,152680,4,2019,arunachal-pradesh
516,pakke kessang district,296,5981,4,2019,arunachal-pradesh
517,east siang district,9859,132534,4,2019,arunachal-pradesh
518,upper subansiri district,3144,42354,4,2019,arunachal-pradesh
519,tawang district,7303,139898,4,2019,arunachal-pradesh
520,namsai district,5190,87627,4,2019,arunachal-pradesh
521,lower subansiri district,4351,72887,1,2020,arunachal-pradesh
522,tirap district,4261,76554,1,2020,arunachal-pradesh
523,papum pare district,51342,819599,1,2020,arunachal-pradesh
524,anjaw district,1747,25453,1,2020,arunachal-pradesh
525,lower siang district,2201,35216,1,2020,arunachal-pradesh
526,dibang valley district,320,2195,1,2020,arunachal-pradesh
527,west kameng district,13983,332479,1,2020,arunachal-pradesh
528,shi yomi district,290,989,1,2020,arunachal-pradesh
529,east kameng district,1962,37103,1,2020,arunachal-pradesh
530,lohit district,8454,159158,1,2020,arunachal-pradesh
531,lepa rada district,1532,28280,1,2020,arunachal-pradesh
532,lower dibang valley district,4650,71091,1,2020,arunachal-pradesh
533,longding district,2201,58817,1,2020,arunachal-pradesh
534,west siang district,5757,97255,1,2020,arunachal-pradesh
535,kamle district,373,7135,1,2020,arunachal-pradesh
536,upper siang district,2143,37600,1,2020,arunachal-pradesh
537,kurung kumey district,725,11471,1,2020,arunachal-pradesh
538,siang district,1390,24530,1,2020,arunachal-pradesh
539,kra daadi district,701,16770,1,2020,arunachal-pradesh
540,changlang district,11262,201632,1,2020,arunachal-pradesh
541,pakke kessang district,371,9758,1,2020,arunachal-pradesh
542,east siang district,11298,167166,1,2020,arunachal-pradesh
543,upper subansiri district,3675,56522,1,2020,arunachal-pradesh
544,tawang district,8048,138728,1,2020,arunachal-pradesh
545,namsai district,6029,109933,1,2020,arunachal-pradesh
546,lower subansiri district,5392,108893,2,2020,arunachal-pradesh
547,tirap district,5239,114770,2,2020,arunachal-pradesh
548,papum pare district,59968,932769,2,2020,arunachal-pradesh
549,anjaw district,1961,34903,2,2020,arunachal-pradesh
550,lower siang district,2644,48738,2,2020,arunachal-pradesh
551,dibang valley district,367,4076,2,2020,arunachal-pradesh
552,west kameng district,15766,394250,2,2020,arunachal-pradesh
553,shi yomi district,320,1597,2,2020,arunachal-pradesh
554,east kameng district,2506,53112,2,2020,arunachal-pradesh
555,lohit district,10154,219948,2,2020,arunachal-pradesh
556,lepa rada district,1890,38098,2,2020,arunachal-pradesh
557,lower dibang valley district,5782,110670,2,2020,arunachal-pradesh
558,longding district,2751,86086,2,2020,arunachal-pradesh
559,west siang district,7239,147515,2,2020,arunachal-pradesh
560,kamle district,509,11566,2,2020,arunachal-pradesh
561,upper siang district,2552,54123,2,2020,arunachal-pradesh
562,kurung kumey district,834,16738,2,2020,arunachal-pradesh
563,siang district,1831,40101,2,2020,arunachal-pradesh
564,kra daadi district,870,25480,2,2020,arunachal-pradesh
565,changlang district,14036,293705,2,2020,arunachal-pradesh
566,pakke kessang district,438,13500,2,2020,arunachal-pradesh
567,east siang district,13601,235755,2,2020,arunachal-pradesh
568,upper subansiri district,4465,80310,2,2020,arunachal-pradesh
569,tawang district,8993,170812,2,2020,arunachal-pradesh
570,namsai district,7426,149491,2,2020,arunachal-pradesh
571,lower subansiri district,6456,117359,3,2020,arunachal-pradesh
572,tirap district,6119,125437,3,2020,arunachal-pradesh
573,papum pare district,69419,1157730,3,2020,arunachal-pradesh
574,anjaw district,2226,42320,3,2020,arunachal-pradesh
575,lower siang district,2983,51520,3,2020,arunachal-pradesh
576,dibang valley district,411,4634,3,2020,arunachal-pradesh
577,west kameng district,17636,461190,3,2020,arunachal-pradesh
578,shi yomi district,337,2788,3,2020,arunachal-pradesh
579,east kameng district,3169,63062,3,2020,arunachal-pradesh
580,lohit district,11755,264444,3,2020,arunachal-pradesh
581,lepa rada district,2304,47233,3,2020,arunachal-pradesh
582,lower dibang valley district,6799,117752,3,2020,arunachal-pradesh
583,longding district,3277,91330,3,2020,arunachal-pradesh
584,west siang district,8623,158496,3,2020,arunachal-pradesh
585,kamle district,639,12196,3,2020,arunachal-pradesh
586,upper siang district,3011,59246,3,2020,arunachal-pradesh
587,kurung kumey district,1025,18583,3,2020,arunachal-pradesh
588,siang district,2225,42723,3,2020,arunachal-pradesh
589,kra daadi district,1026,29126,3,2020,arunachal-pradesh
590,changlang district,16385,326045,3,2020,arunachal-pradesh
591,pakke kessang district,508,11721,3,2020,arunachal-pradesh
592,east siang district,15921,302165,3,2020,arunachal-pradesh
593,upper subansiri district,5295,106598,3,2020,arunachal-pradesh
594,tawang district,9944,224583,3,2020,arunachal-pradesh
595,namsai district,8553,165140,3,2020,arunachal-pradesh
596,lower subansiri district,7388,124398,4,2020,arunachal-pradesh
597,tirap district,6805,134124,4,2020,arunachal-pradesh
598,papum pare district,77936,1397025,4,2020,arunachal-pradesh
599,anjaw district,2485,61121,4,2020,arunachal-pradesh
600,lower siang district,3320,54476,4,2020,arunachal-pradesh
601,dibang valley district,444,7677,4,2020,arunachal-pradesh
602,west kameng district,19464,455337,4,2020,arunachal-pradesh
603,shi yomi district,370,5847,4,2020,arunachal-pradesh
604,east kameng district,3638,62876,4,2020,arunachal-pradesh
605,lohit district,13126,285992,4,2020,arunachal-pradesh
606,lepa rada district,2735,57036,4,2020,arunachal-pradesh
607,lower dibang valley district,7693,132469,4,2020,arunachal-pradesh
608,longding district,3753,87881,4,2020,arunachal-pradesh
609,west siang district,9911,180696,4,2020,arunachal-pradesh
610,kamle district,745,14866,4,2020,arunachal-pradesh
611,upper siang district,3497,80140,4,2020,arunachal-pradesh
612,kurung kumey district,1173,21168,4,2020,arunachal-pradesh
613,siang district,2635,48090,4,2020,arunachal-pradesh
614,kra daadi district,1141,27924,4,2020,arunachal-pradesh
615,changlang district,18203,320708,4,2020,arunachal-pradesh
616,pakke kessang district,593,11458,4,2020,arunachal-pradesh
617,east siang district,17822,349321,4,2020,arunachal-pradesh
618,upper subansiri district,6069,125505,4,2020,arunachal-pradesh
619,tawang district,10909,249095,4,2020,arunachal-pradesh
620,namsai district,9437,177437,4,2020,arunachal-pradesh
621,lower subansiri district,8044,136547,1,2021,arunachal-pradesh
622,tirap district,7376,136247,1,2021,arunachal-pradesh
623,papum pare district,84715,1553363,1,2021,arunachal-pradesh
624,anjaw district,2660,55283,1,2021,arunachal-pradesh
625,lower siang district,3594,61226,1,2021,arunachal-pradesh
626,dibang valley district,478,9538,1,2021,arunachal-pradesh
627,west kameng district,21027,483047,1,2021,arunachal-pradesh
628,shi yomi district,390,7228,1,2021,arunachal-pradesh
629,east kameng district,3990,69455,1,2021,arunachal-pradesh
630,lohit district,14231,295880,1,2021,arunachal-pradesh
631,lepa rada district,3008,68424,1,2021,arunachal-pradesh
632,lower dibang valley district,8402,145425,1,2021,arunachal-pradesh
633,longding district,4117,92482,1,2021,arunachal-pradesh
634,west siang district,10836,191242,1,2021,arunachal-pradesh
635,kamle district,814,16142,1,2021,arunachal-pradesh
636,upper siang district,3847,87503,1,2021,arunachal-pradesh
637,kurung kumey district,1287,25911,1,2021,arunachal-pradesh
638,siang district,2878,56271,1,2021,arunachal-pradesh
639,kra daadi district,1244,30137,1,2021,arunachal-pradesh
640,changlang district,19716,344148,1,2021,arunachal-pradesh
641,pakke kessang district,647,14995,1,2021,arunachal-pradesh
642,east siang district,19342,363085,1,2021,arunachal-pradesh
643,upper subansiri district,6577,122422,1,2021,arunachal-pradesh
644,tawang district,11778,230123,1,2021,arunachal-pradesh
645,namsai district,10242,200584,1,2021,arunachal-pradesh
646,lower subansiri district,8685,444426,2,2021,arunachal-pradesh
647,tirap district,7955,547430,2,2021,arunachal-pradesh
648,papum pare district,90871,1786163,2,2021,arunachal-pradesh
649,anjaw district,2866,174807,2,2021,arunachal-pradesh
650,lower siang district,3872,246789,2,2021,arunachal-pradesh
651,dibang valley district,516,77457,2,2021,arunachal-pradesh
652,west kameng district,22625,1490269,2,2021,arunachal-pradesh
653,shi yomi district,430,99619,2,2021,arunachal-pradesh
654,east kameng district,4314,221705,2,2021,arunachal-pradesh
655,lohit district,15360,1008718,2,2021,arunachal-pradesh
656,lepa rada district,3249,228236,2,2021,arunachal-pradesh
657,lower dibang valley district,9094,434361,2,2021,arunachal-pradesh
658,longding district,4456,495881,2,2021,arunachal-pradesh
659,west siang district,11657,467127,2,2021,arunachal-pradesh
660,kamle district,883,164726,2,2021,arunachal-pradesh
661,upper siang district,4145,428792,2,2021,arunachal-pradesh
662,kurung kumey district,1398,201782,2,2021,arunachal-pradesh
663,siang district,3116,410979,2,2021,arunachal-pradesh
664,kra daadi district,1353,150762,2,2021,arunachal-pradesh
665,changlang district,21404,1212334,2,2021,arunachal-pradesh
666,pakke kessang district,702,156638,2,2021,arunachal-pradesh
667,east siang district,20817,855042,2,2021,arunachal-pradesh
668,upper subansiri district,7057,293916,2,2021,arunachal-pradesh
669,tawang district,12636,830993,2,2021,arunachal-pradesh
670,namsai district,11111,596897,2,2021,arunachal-pradesh
671,lower subansiri district,9451,558377,3,2021,arunachal-pradesh
672,tirap district,8665,578706,3,2021,arunachal-pradesh
673,papum pare district,97854,2308276,3,2021,arunachal-pradesh
674,anjaw district,3099,267726,3,2021,arunachal-pradesh
675,lower siang district,4229,347190,3,2021,arunachal-pradesh
676,dibang valley district,571,113574,3,2021,arunachal-pradesh
677,west kameng district,24489,2155265,3,2021,arunachal-pradesh
678,shi yomi district,473,181457,3,2021,arunachal-pradesh
679,east kameng district,4671,265900,3,2021,arunachal-pradesh
680,lohit district,16680,1408514,3,2021,arunachal-pradesh
681,lepa rada district,3527,264771,3,2021,arunachal-pradesh
682,lower dibang valley district,9920,581463,3,2021,arunachal-pradesh
683,longding district,4890,594284,3,2021,arunachal-pradesh
684,west siang district,12616,544772,3,2021,arunachal-pradesh
685,kamle district,974,203013,3,2021,arunachal-pradesh
686,upper siang district,4506,556857,3,2021,arunachal-pradesh
687,kurung kumey district,1509,292922,3,2021,arunachal-pradesh
688,siang district,3396,433332,3,2021,arunachal-pradesh
689,kra daadi district,1475,179974,3,2021,arunachal-pradesh
690,changlang district,23328,1668215,3,2021,arunachal-pradesh
691,pakke kessang district,770,213423,3,2021,arunachal-pradesh
692,east siang district,22538,1086775,3,2021,arunachal-pradesh
693,upper subansiri district,7652,375423,3,2021,arunachal-pradesh
694,tawang district,13650,1355010,3,2021,arunachal-pradesh
695,namsai district,12140,674435,3,2021,arunachal-pradesh
696,lower subansiri district,10187,348485,4,2021,arunachal-pradesh
697,tirap district,9331,311867,4,2021,arunachal-pradesh
698,papum pare district,104806,3554385,4,2021,arunachal-pradesh
699,anjaw district,3342,125753,4,2021,arunachal-pradesh
700,lower siang district,4550,156209,4,2021,arunachal-pradesh
701,dibang valley district,621,18166,4,2021,arunachal-pradesh
702,west kameng district,26237,1160379,4,2021,arunachal-pradesh
703,shi yomi district,498,15201,4,2021,arunachal-pradesh
704,east kameng district,5027,153109,4,2021,arunachal-pradesh
705,lohit district,17980,728676,4,2021,arunachal-pradesh
706,lepa rada district,3810,168938,4,2021,arunachal-pradesh
707,lower dibang valley district,10679,341060,4,2021,arunachal-pradesh
708,longding district,5345,215529,4,2021,arunachal-pradesh
709,west siang district,13555,389171,4,2021,arunachal-pradesh
710,kamle district,1069,48042,4,2021,arunachal-pradesh
711,upper siang district,4850,208167,4,2021,arunachal-pradesh
712,kurung kumey district,1633,54213,4,2021,arunachal-pradesh
713,siang district,3675,121770,4,2021,arunachal-pradesh
714,kra daadi district,1593,63448,4,2021,arunachal-pradesh
715,changlang district,25155,829350,4,2021,arunachal-pradesh
716,pakke kessang district,835,35976,4,2021,arunachal-pradesh
717,east siang district,24208,897713,4,2021,arunachal-pradesh
718,upper subansiri district,8201,240330,4,2021,arunachal-pradesh
719,tawang district,14665,506240,4,2021,arunachal-pradesh
720,namsai district,13092,538118,4,2021,arunachal-pradesh
721,lower subansiri district,10854,1566925,1,2022,arunachal-pradesh
722,tirap district,9972,1634844,1,2022,arunachal-pradesh
723,papum pare district,111271,3209286,1,2022,arunachal-pradesh
724,anjaw district,3560,640611,1,2022,arunachal-pradesh
725,lower siang district,4882,1085994,1,2022,arunachal-pradesh
726,dibang valley district,656,267633,1,2022,arunachal-pradesh
727,west kameng district,27860,4098935,1,2022,arunachal-pradesh
728,shi yomi district,540,230973,1,2022,arunachal-pradesh
729,east kameng district,5355,703590,1,2022,arunachal-pradesh
730,lohit district,19214,3212352,1,2022,arunachal-pradesh
731,lepa rada district,4049,1182371,1,2022,arunachal-pradesh
732,lower dibang valley district,11401,1918566,1,2022,arunachal-pradesh
733,longding district,5700,1728795,1,2022,arunachal-pradesh
734,west siang district,14420,1420049,1,2022,arunachal-pradesh
735,kamle district,1144,758412,1,2022,arunachal-pradesh
