S.no,Transacton_type,Total_Transactions_count,Total_Amount,Quarter,Year,State
436,Peer-to-peer payments,26337842,86340631422,4,2019,bihar
437,Recharge & bill payments,11358597,2649616530,4,2019,bihar
438,Merchant payments,5519582,4177574379,4,2019,bihar
439,Financial Services,100192,18815964.76,4,2019,bihar
440,Others,214101,126788281.9,4,2019,bihar
441,Peer-to-peer payments,23163922,99873688133,1,2020,bihar
442,Recharge & bill payments,13837430,3680590625,1,2020,bihar
443,Merchant payments,7822567,5562692117,1,2020,bihar
444,Financial Services,57233,23954789.41,1,2020,bihar
445,Others,200663,115927863.5,1,2020,bihar
446,Peer-to-peer payments,26572651,1.16E+11,2,2020,bihar
447,Recharge & bill payments,19522564,5642294772,2,2020,bihar
448,Merchant payments,7011681,6760404422,2,2020,bihar
449,Financial Services,73119,54077813.26,2,2020,bihar
450,Others,206727,105377680.2,2,2020,bihar
451,Peer-to-peer payments,37294332,1.54E+11,3,2020,bihar
452,Recharge & bill payments,19027978,6313780617,3,2020,bihar
453,Merchant payments,14777337,13111735855,3,2020,bihar
454,Financial Services,104135,81355476.16,3,2020,bihar
455,Others,299966,157309412.5,3,2020,bihar
456,Peer-to-peer payments,49432098,2.08E+11,4,2020,bihar
457,Merchant payments,26750991,23185594534,4,2020,bihar
458,Recharge & bill payments,19908687,6926960997,4,2020,bihar
459,Financial Services,119416,100785736,4,2020,bihar
460,Others,380481,207713978,4,2020,bihar
461,Peer-to-peer payments,58566582,2.42E+11,1,2021,bihar
462,Merchant payments,33959313,30171144593,1,2021,bihar
463,Recharge & bill payments,21974086,8505455545,1,2021,bihar
464,Financial Services,124277,112949858.3,1,2021,bihar
465,Others,308219,170787342.8,1,2021,bihar
466,Peer-to-peer payments,78694099,3.20E+11,2,2021,bihar
467,Merchant payments,44686786,43458914640,2,2021,bihar
468,Recharge & bill payments,31646149,11030849714,2,2021,bihar
469,Financial Services,149791,116086345.9,2,2021,bihar
470,Others,426797,215721223.2,2,2021,bihar
471,Peer-to-peer payments,92785704,3.32E+11,3,2021,bihar
472,Merchant payments,64094961,53849745605,3,2021,bihar
473,Recharge & bill payments,30081746,11327303470,3,2021,bihar
474,Financial Services,135748,130349071.6,3,2021,bihar
475,Others,572954,241260025.5,3,2021,bihar
476,Peer-to-peer payments,117340712,4.24E+11,4,2021,bihar
477,Merchant payments,95992559,81729122296,4,2021,bihar
478,Recharge & bill payments,30824177,13438634948,4,2021,bihar
479,Financial Services,186298,173358268.8,4,2021,bihar
480,Others,783199,365400541.9,4,2021,bihar
481,Peer-to-peer payments,138085265,5.00E+11,1,2022,bihar
482,Merchant payments,114892163,95507710276,1,2022,bihar
483,Recharge & bill payments,30545266,15431605247,1,2022,bihar
484,Financial Services,169722,148088975.2,1,2022,bihar
485,Others,698018,299484690.3,1,2022,bihar
486,Peer-to-peer payments,164119431,6.10E+11,2,2022,bihar
487,Merchant payments,158289353,1.26E+11,2,2022,bihar
488,Recharge & bill payments,36950622,17225668602,2,2022,bihar
489,Financial Services,124199,116203820.9,2,2022,bihar
490,Others,661424,247541289.1,2,2022,bihar
491,Merchant payments,198273336,1.38E+11,3,2022,bihar
492,Peer-to-peer payments,192304951,6.33E+11,3,2022,bihar
493,Recharge & bill payments,46044353,20417791249,3,2022,bihar
494,Financial Services,179533,161987346.2,3,2022,bihar
495,Others,565212,245905365.8,3,2022,bihar
496,Merchant payments,243777692,1.73E+11,4,2022,bihar
497,Peer-to-peer payments,225487662,7.40E+11,4,2022,bihar
498,Recharge & bill payments,47054083,22729599211,4,2022,bihar
499,Financial Services,205989,199208429.5,4,2022,bihar
500,Others,559223,288999714.4,4,2022,bihar
501,Recharge & bill payments,201262,47479581.16,1,2018,chandigarh
502,Peer-to-peer payments,135136,527998849.3,1,2018,chandigarh
503,Merchant payments,21431,19477066.53,1,2018,chandigarh
504,Financial Services,8473,1865618.25,1,2018,chandigarh
505,Others,15593,16614305.58,1,2018,chandigarh
506,Recharge & bill payments,224548,76722906.68,2,2018,chandigarh
507,Peer-to-peer payments,194627,835296156.4,2,2018,chandigarh
508,Merchant payments,34606,29408471.51,2,2018,chandigarh
509,Financial Services,11927,3679451.864,2,2018,chandigarh
510,Others,13376,16116275.27,2,2018,chandigarh
511,Peer-to-peer payments,295358,1217617706,3,2018,chandigarh
512,Recharge & bill payments,236445,100639674.7,3,2018,chandigarh
513,Merchant payments,64998,37560565.97,3,2018,chandigarh
514,Financial Services,7642,1302311.597,3,2018,chandigarh
515,Others,12493,12234189.32,3,2018,chandigarh
516,Peer-to-peer payments,431461,1793871702,4,2018,chandigarh
517,Recharge & bill payments,310527,128130476,4,2018,chandigarh
518,Merchant payments,135266,94010713.61,4,2018,chandigarh
519,Financial Services,10008,2039811.337,4,2018,chandigarh
520,Others,17854,14538888.52,4,2018,chandigarh
521,Peer-to-peer payments,689400,2123866602,1,2019,chandigarh
522,Recharge & bill payments,390610,161414934.1,1,2019,chandigarh
523,Merchant payments,169984,97230471.44,1,2019,chandigarh
524,Financial Services,7412,917030.9067,1,2019,chandigarh
525,Others,17070,12603012.34,1,2019,chandigarh
526,Peer-to-peer payments,604849,2339922408,2,2019,chandigarh
527,Recharge & bill payments,342294,185659011.5,2,2019,chandigarh
528,Merchant payments,277811,152766864.7,2,2019,chandigarh
529,Financial Services,5590,839765.1614,2,2019,chandigarh
530,Others,21926,13928050.05,2,2019,chandigarh
531,Peer-to-peer payments,722233,2815184153,3,2019,chandigarh
532,Merchant payments,447069,226535908.8,3,2019,chandigarh
533,Recharge & bill payments,308219,213884900.5,3,2019,chandigarh
534,Financial Services,2447,794918.675,3,2019,chandigarh
535,Others,26575,13282206.87,3,2019,chandigarh
536,Peer-to-peer payments,927850,3586763929,4,2019,chandigarh
537,Merchant payments,561630,318692521.8,4,2019,chandigarh
538,Recharge & bill payments,338203,237695595,4,2019,chandigarh
539,Financial Services,1911,654298.6785,4,2019,chandigarh
540,Others,21321,8707473.863,4,2019,chandigarh
541,Peer-to-peer payments,1087401,4421372542,1,2020,chandigarh
542,Merchant payments,764832,438193845.5,1,2020,chandigarh
543,Recharge & bill payments,389851,257250007.2,1,2020,chandigarh
544,Financial Services,1574,1406138.188,1,2020,chandigarh
545,Others,18853,8230536.663,1,2020,chandigarh
546,Peer-to-peer payments,766698,3293060120,2,2020,chandigarh
547,Merchant payments,390906,331423259,2,2020,chandigarh
548,Recharge & bill payments,361577,214425229.3,2,2020,chandigarh
549,Financial Services,1797,3982005.118,2,2020,chandigarh
550,Others,7032,4125116.689,2,2020,chandigarh
551,Peer-to-peer payments,981986,4178346395,3,2020,chandigarh
552,Merchant payments,796634,604271248.9,3,2020,chandigarh
553,Recharge & bill payments,366353,296964795,3,2020,chandigarh
554,Financial Services,2643,5254415.457,3,2020,chandigarh
555,Others,10470,4972498.603,3,2020,chandigarh
556,Merchant payments,1322026,939307675.9,4,2020,chandigarh
557,Peer-to-peer payments,1159377,4872318731,4,2020,chandigarh
558,Recharge & bill payments,409997,320731281.9,4,2020,chandigarh
559,Financial Services,3346,4400109.749,4,2020,chandigarh
560,Others,17970,10005102.46,4,2020,chandigarh
561,Merchant payments,1799072,1210594490,1,2021,chandigarh
562,Peer-to-peer payments,1472084,5916467167,1,2021,chandigarh
563,Recharge & bill payments,678396,451109555.3,1,2021,chandigarh
564,Financial Services,5111,7700394.762,1,2021,chandigarh
565,Others,15574,10549252.04,1,2021,chandigarh
566,Merchant payments,1926913,1390989391,2,2021,chandigarh
567,Peer-to-peer payments,1663559,6541132353,2,2021,chandigarh
568,Recharge & bill payments,806710,467698864.7,2,2021,chandigarh
569,Financial Services,5502,7394941.033,2,2021,chandigarh
570,Others,14863,10458390.53,2,2021,chandigarh
571,Merchant payments,3179506,2245390329,3,2021,chandigarh
572,Peer-to-peer payments,2434417,8927868098,3,2021,chandigarh
573,Recharge & bill payments,1008585,620437997.4,3,2021,chandigarh
574,Financial Services,5700,7960844.904,3,2021,chandigarh
575,Others,21170,14225734.85,3,2021,chandigarh
576,Merchant payments,4056249,3041038520,4,2021,chandigarh
577,Peer-to-peer payments,2797561,10610461952,4,2021,chandigarh
578,Recharge & bill payments,1013153,693790747.2,4,2021,chandigarh
579,Financial Services,7038,10459431.86,4,2021,chandigarh
580,Others,24902,17832859.58,4,2021,chandigarh
581,Merchant payments,4511757,3264574793,1,2022,chandigarh
582,Peer-to-peer payments,3012464,11150701029,1,2022,chandigarh
583,Recharge & bill payments,1046187,731347957.2,1,2022,chandigarh
584,Financial Services,7228,13538635.56,1,2022,chandigarh
585,Others,22855,14829135,1,2022,chandigarh
586,Merchant payments,6136803,3919372476,2,2022,chandigarh
587,Peer-to-peer payments,3489382,12549248085,2,2022,chandigarh
588,Recharge & bill payments,1119367,792957088.6,2,2022,chandigarh
589,Financial Services,6673,8943857.181,2,2022,chandigarh
590,Others,20264,12978651.92,2,2022,chandigarh
591,Merchant payments,7665907,4713972533,3,2022,chandigarh
592,Peer-to-peer payments,4423590,14788179156,3,2022,chandigarh
593,Recharge & bill payments,1360342,1033530640,3,2022,chandigarh
594,Financial Services,8868,9918740.021,3,2022,chandigarh
595,Others,19466,14156668.14,3,2022,chandigarh
596,Merchant payments,10170372,6570336080,4,2022,chandigarh
597,Peer-to-peer payments,5951989,20013621496,4,2022,chandigarh
598,Recharge & bill payments,1749647,1267654269,4,2022,chandigarh
599,Financial Services,10778,12000766.36,4,2022,chandigarh
600,Others,22054,16141955.57,4,2022,chandigarh
601,Recharge & bill payments,1177618,206518662.8,1,2018,chhattisgarh
602,Peer-to-peer payments,550697,1838238336,1,2018,chhattisgarh
603,Merchant payments,42411,39708474.16,1,2018,chhattisgarh
604,Financial Services,33002,7350624.274,1,2018,chhattisgarh
605,Others,87786,57339459.83,1,2018,chhattisgarh
606,Recharge & bill payments,1643461,351709628.1,2,2018,chhattisgarh
607,Peer-to-peer payments,933066,3703114548,2,2018,chhattisgarh
608,Merchant payments,118438,129967815.2,2,2018,chhattisgarh
609,Financial Services,40299,9405941.627,2,2018,chhattisgarh
610,Others,80892,69972510.6,2,2018,chhattisgarh
611,Recharge & bill payments,1911374,443460556.8,3,2018,chhattisgarh
612,Peer-to-peer payments,1619886,5647949188,3,2018,chhattisgarh
613,Merchant payments,220572,145342066,3,2018,chhattisgarh
614,Financial Services,31927,6195179.157,3,2018,chhattisgarh
615,Others,75845,59360083.75,3,2018,chhattisgarh
616,Recharge & bill payments,2438959,554514488.4,4,2018,chhattisgarh
617,Peer-to-peer payments,2342713,8450105299,4,2018,chhattisgarh
618,Merchant payments,458091,331842964.6,4,2018,chhattisgarh
619,Financial Services,42199,9709810.436,4,2018,chhattisgarh
620,Others,83882,70240102.06,4,2018,chhattisgarh
621,Peer-to-peer payments,4068056,11417366152,1,2019,chhattisgarh
622,Recharge & bill payments,2997095,679458794.5,1,2019,chhattisgarh
623,Merchant payments,710047,374735986.9,1,2019,chhattisgarh
624,Financial Services,33835,5075418.743,1,2019,chhattisgarh
625,Others,78636,67920032.8,1,2019,chhattisgarh
626,Peer-to-peer payments,4350167,15410038390,2,2019,chhattisgarh
627,Recharge & bill payments,3435305,855753107.5,2,2019,chhattisgarh
628,Merchant payments,1483870,654411637,2,2019,chhattisgarh
629,Financial Services,22563,4237631.554,2,2019,chhattisgarh
630,Others,98040,77914922.92,2,2019,chhattisgarh
631,Peer-to-peer payments,5021844,17584630268,3,2019,chhattisgarh
632,Recharge & bill payments,4335851,1069468754,3,2019,chhattisgarh
633,Merchant payments,2772084,1074255589,3,2019,chhattisgarh
634,Financial Services,16452,4542997.939,3,2019,chhattisgarh
635,Others,96880,70361559.29,3,2019,chhattisgarh
636,Peer-to-peer payments,7241974,24112075521,4,2019,chhattisgarh
637,Recharge & bill payments,5112337,1257371455,4,2019,chhattisgarh
638,Merchant payments,3852716,1720930748,4,2019,chhattisgarh
639,Financial Services,14974,4665759.804,4,2019,chhattisgarh
640,Others,83757,48745253.9,4,2019,chhattisgarh
641,Peer-to-peer payments,8109789,28723854869,1,2020,chhattisgarh
642,Recharge & bill payments,6400067,1688995018,1,2020,chhattisgarh
643,Merchant payments,4923214,2393811867,1,2020,chhattisgarh
644,Financial Services,12424,7378557.223,1,2020,chhattisgarh
645,Others,78497,46557359.68,1,2020,chhattisgarh
646,Recharge & bill payments,8366200,2504355747,2,2020,chhattisgarh
647,Peer-to-peer payments,7216219,27351810048,2,2020,chhattisgarh
648,Merchant payments,3158417,2361252112,2,2020,chhattisgarh
649,Financial Services,19986,17814454.61,2,2020,chhattisgarh
650,Others,60103,33149845.44,2,2020,chhattisgarh
651,Peer-to-peer payments,9734445,34661165923,3,2020,chhattisgarh
652,Recharge & bill payments,8705513,2790720003,3,2020,chhattisgarh
653,Merchant payments,5591916,3990179454,3,2020,chhattisgarh
654,Financial Services,34893,39141096.45,3,2020,chhattisgarh
655,Others,81772,45538330.63,3,2020,chhattisgarh
656,Peer-to-peer payments,14257312,50812302053,4,2020,chhattisgarh
657,Merchant payments,11677743,8238390462,4,2020,chhattisgarh
658,Recharge & bill payments,9423324,3033918783,4,2020,chhattisgarh
659,Financial Services,41308,48082346.06,4,2020,chhattisgarh
660,Others,129949,82280639.52,4,2020,chhattisgarh
661,Peer-to-peer payments,15621154,55638916992,1,2021,chhattisgarh
662,Merchant payments,15222763,10661449529,1,2021,chhattisgarh
663,Recharge & bill payments,8456094,3000977539,1,2021,chhattisgarh
664,Financial Services,37395,40387648.84,1,2021,chhattisgarh
665,Others,99031,68111552.62,1,2021,chhattisgarh
666,Peer-to-peer payments,18387345,62134058797,2,2021,chhattisgarh
667,Merchant payments,15369311,12828590762,2,2021,chhattisgarh
668,Recharge & bill payments,10764784,3640692364,2,2021,chhattisgarh
669,Financial Services,40213,39620256.36,2,2021,chhattisgarh
670,Others,127767,85809079.55,2,2021,chhattisgarh
671,Merchant payments,27552743,19905616747,3,2021,chhattisgarh
672,Peer-to-peer payments,25447410,80506858751,3,2021,chhattisgarh
673,Recharge & bill payments,11039088,4045490947,3,2021,chhattisgarh
674,Financial Services,38817,48855662.4,3,2021,chhattisgarh
675,Others,159880,99286155,3,2021,chhattisgarh
676,Merchant payments,40526025,29283695601,4,2021,chhattisgarh
677,Peer-to-peer payments,32799167,1.02E+11,4,2021,chhattisgarh
678,Recharge & bill payments,11115444,4724827140,4,2021,chhattisgarh
679,Financial Services,55237,66445873.3,4,2021,chhattisgarh
680,Others,221621,146144588.7,4,2021,chhattisgarh
681,Merchant payments,48236094,33822547183,1,2022,chhattisgarh
682,Peer-to-peer payments,37457039,1.18E+11,1,2022,chhattisgarh
683,Recharge & bill payments,11466264,5442872986,1,2022,chhattisgarh
684,Financial Services,52918,55991695.31,1,2022,chhattisgarh
685,Others,200977,131773069.8,1,2022,chhattisgarh
686,Merchant payments,61093916,41536371584,2,2022,chhattisgarh
687,Peer-to-peer payments,42532112,1.34E+11,2,2022,chhattisgarh
688,Recharge & bill payments,12737942,5949415520,2,2022,chhattisgarh
689,Financial Services,41530,46037703.16,2,2022,chhattisgarh
690,Others,178548,114905117.8,2,2022,chhattisgarh
691,Merchant payments,84355775,50874051122,3,2022,chhattisgarh
692,Peer-to-peer payments,57116149,1.61E+11,3,2022,chhattisgarh
693,Recharge & bill payments,16538894,8069941553,3,2022,chhattisgarh
694,Financial Services,55775,61881709.74,3,2022,chhattisgarh
695,Others,185994,128469268.6,3,2022,chhattisgarh
696,Merchant payments,97405954,60247141798,4,2022,chhattisgarh
697,Peer-to-peer payments,63986789,1.84E+11,4,2022,chhattisgarh
698,Recharge & bill payments,16324117,8376603987,4,2022,chhattisgarh
699,Financial Services,63695,81169069.23,4,2022,chhattisgarh
700,Others,179891,141385263.4,4,2022,chhattisgarh
701,Recharge & bill payments,95544,17526369.58,1,2018,dadra-&-nagar-haveli-&-daman-&-diu
702,Peer-to-peer payments,44599,151966933.2,1,2018,dadra-&-nagar-haveli-&-daman-&-diu
703,Merchant payments,1531,1580762.78,1,2018,dadra-&-nagar-haveli-&-daman-&-diu
704,Financial Services,1364,353171.5524,1,2018,dadra-&-nagar-haveli-&-daman-&-diu
705,Others,5511,4231146.951,1,2018,dadra-&-nagar-haveli-&-daman-&-diu
706,Recharge & bill payments,122834,30595592.01,2,2018,dadra-&-nagar-haveli-&-daman-&-diu
707,Peer-to-peer payments,69215,261995613.1,2,2018,dadra-&-nagar-haveli-&-daman-&-diu
708,Merchant payments,3544,4685536.036,2,2018,dadra-&-nagar-haveli-&-daman-&-diu
709,Financial Services,2996,383806.0855,2,2018,dadra-&-nagar-haveli-&-daman-&-diu
710,Others,4037,4410224.472,2,2018,dadra-&-nagar-haveli-&-daman-&-diu
711,Recharge & bill payments,157113,39790820.29,3,2018,dadra-&-nagar-haveli-&-daman-&-diu
712,Peer-to-peer payments,119346,396698085.4,3,2018,dadra-&-nagar-haveli-&-daman-&-diu
713,Merchant payments,7465,5693604.744,3,2018,dadra-&-nagar-haveli-&-daman-&-diu
714,Financial Services,1477,297647.8959,3,2018,dadra-&-nagar-haveli-&-daman-&-diu
715,Others,4174,5159437.334,3,2018,dadra-&-nagar-haveli-&-daman-&-diu
716,Peer-to-peer payments,194214,582082154.4,4,2018,dadra-&-nagar-haveli-&-daman-&-diu
717,Recharge & bill payments,185793,49972030.11,4,2018,dadra-&-nagar-haveli-&-daman-&-diu
718,Merchant payments,15739,19577328.04,4,2018,dadra-&-nagar-haveli-&-daman-&-diu
